UserID,MovieID,Rating,Timestamp
3975,2918,4,965664176
4053,1617,5,965492306
377,2762,5,976304064
5758,2396,5,958307826
2380,1610,4,974330680
274,2959,5,976593660
4096,589,3,965417767
4645,457,5,963976612
4568,2396,5,964477819
4305,2396,5,1041210986
3280,1923,4,968168597
1683,1307,5,974710019
4932,1240,4,962652425
3975,2716,3,965667813
710,648,4,975542745
5824,1220,2,957898814
1717,2997,5,1009255743
3243,1580,4,968394487
5920,1617,4,977152584
3066,589,4,969998828
3205,3175,3,968563398
2103,541,4,975849648
3729,750,5,966576840
890,480,5,975466973
2934,3418,3,971488650
1556,924,2,974748658
4085,1784,4,965540834
3425,1213,5,967352150
2609,1617,5,978713239
2583,3418,4,974420937
1105,1097,5,976047777
3299,1968,4,968036285
445,2706,3,976241481
5497,1610,4,959806429
3308,34,1,967993430
3768,3481,4,973228676
2465,1221,5,974323904
710,1270,4,975731472
3923,1214,5,965711475
1822,527,5,974698928
5394,3114,4,961438109
4260,2716,4,965322679
876,32,4,975271964
929,1610,5,975190767
445,541,5,976239652
5636,590,3,959142293
2153,1270,5,974623797
1034,2000,4,975013319
5106,1610,5,962334614
149,318,5,977588236
888,3793,4,975255678
4005,356,5,965559488
4203,318,5,965321648
1308,3793,4,974785598
3976,2716,4,965650617
4091,110,3,965425532
5419,1210,2,960172938
1343,912,5,975196144
4265,480,5,965305371
4786,2858,5,962999544
1606,2997,5,974735866
462,780,4,976934560
5056,34,5,962486477
5026,1721,4,962579451
1599,1200,5,974733383
4305,919,5,965264783
3540,2959,4,966882369
679,260,4,975607514
4591,377,4,964305766
1837,1617,5,976025915
4026,110,5,965517432
4007,3793,3,965546499
2259,541,5,974589963
3272,110,5,968196120
4022,2706,3,965519466
2873,39,3,972414613
2300,2791,2,974498584
175,1214,5,977114801
3993,2916,2,965590116
1841,527,4,974698906
1087,2791,4,990547587
5318,21,3,960886565
419,589,3,976290476
887,2762,4,975255785
3056,1527,3,970124395
1710,2987,5,974707436
5523,1291,4,959646696
4130,858,5,965351365
386,1213,4,976300549
1333,2916,5,974776916
149,1394,3,978190773
678,1196,4,978702462
258,2571,4,976671889
2787,1196,5,972966163
585,588,4,975949095
2664,2174,3,973459172
1202,3418,5,974848313
905,21,3,975211132
3044,356,5,970211195
4470,1200,5,965064421
5323,2762,2,960847511
3336,1200,3,968043516
5091,2000,5,962553936
854,3114,4,975351907
911,541,3,975273479
3669,1610,4,966465069
2091,588,4,974655758
3500,527,5,966996399
5211,1220,4,961598295
462,2355,4,976934080
258,2858,5,976672052
664,1617,5,975646920
4906,480,3,962735417
713,2797,4,975537488
5787,541,5,958109212
4461,2987,5,965073166
4635,1196,5,964033163
5757,1136,4,958259648
550,3418,3,976158282
4934,39,4,962648898
6002,1265,4,969074072
5840,1259,4,957829178
3308,1387,2,967999529
3976,2174,4,965652902
