UserID,MovieID,Rating,Timestamp
2205,1221,5,974606761
5319,2987,4,960866946
823,2000,3,975379947
263,1270,4,976652192
4310,1704,5,965258767
2073,1304,3,974751547
776,380,3,975437026
1425,1,5,976932728
4533,2959,3,964731504
2205,32,2,974604298
1600,1198,5,974732376
5187,1127,3,961724431
5531,1210,4,959620064
2679,2000,3,973392335
4933,912,5,962650371
2802,2762,4,972825069
5260,1968,3,961200238
5271,1220,4,961138170
977,2762,5,975110281
5776,1196,5,958162856
4169,1225,5,965693059
1752,1394,4,975728548
4948,260,4,962642061
4611,1259,3,964154973
5776,1584,4,958162988
5177,2699,4,961858379
6016,1193,3,956957612
6010,1923,5,956857307
4320,1214,4,965250038
3391,1221,5,967507647
739,919,4,975476391
3711,3114,5,966271471
1097,223,5,974927125
4611,260,5,964151569
2270,924,4,974622039
2022,3578,4,976127695
2993,1527,4,970725724
5458,318,4,1021263298
1744,1213,4,974703883
3842,1240,5,965990398
911,110,5,975215383
4897,34,3,962715225
4681,2291,4,963682594
242,1196,2,976750221
2082,2918,5,976584797
1267,1220,5,974911219
3807,2797,4,970437794
2786,750,5,972974134
5785,1387,5,964118060
639,648,4,980476627
4093,480,3,965420000
3693,1200,4,966304183
2573,1304,5,973907972
2844,593,4,972531346
4461,1270,5,965071928
2082,1527,5,974655930
2258,1291,4,980136289
948,608,5,975146756
3224,2959,5,974588612
3904,2000,4,965765196
5466,541,5,959898745
4840,2683,5,962856200
2459,2762,4,974174063
5771,2791,4,958170742
5648,1240,4,958870672
920,924,4,975205052
832,2628,4,975362515
1671,39,5,974712422
3609,3114,4,966614829
3693,2804,3,1039623322
1422,1394,4,975692427
4222,1721,4,965315287
5102,1200,5,962347824
4093,1265,3,965421253
327,1394,4,976398608
3503,1387,4,969479179
5038,1387,5,963797785
235,1136,4,976772387
5342,260,4,960685244
5404,2028,5,960344455
5355,919,5,960595809
4389,380,3,965165237
1155,1200,5,974866616
1221,589,5,974839634
5663,1196,4,958768224
4156,318,5,965690645
2446,32,5,974220675
5924,1210,4,957284286
2106,1923,2,975440129
4417,1220,4,965136421
911,1270,5,975269953
4831,1193,5,962901888
2041,223,3,1007321492
1841,1393,3,974745756
3384,541,5,967567334
1112,2918,4,974945749
4643,480,3,963998498
1701,589,4,974707445
4238,780,5,965310362
660,3418,2,975687528
2860,21,3,974150211
2242,1270,5,974597376
1184,356,4,974852691
1689,648,4,974709348
386,1270,4,976304195
5054,1036,3,962487579
4917,924,4,962678223
5441,648,3,959990131
915,589,4,975202663
765,2797,4,975452372
5550,1240,5,959469676
5785,1240,4,964118018
5788,1240,5,958107225
5538,2406,4,959558523
2848,2804,4,972513831
2636,2858,5,973577806
386,2571,3,976300674
4006,1220,3,965551722
2156,480,4,974629131
2802,589,4,974431860
3718,223,3,966265683
137,2571,4,1000867903
5335,2174,4,960764869
1949,1213,5,974690652
1389,1923,5,975025514
6016,1097,3,956776340
1896,50,3,975272051
3871,1784,4,965844161
2106,2599,4,974712474
4060,2716,4,965491702
5034,1225,5,962559352
3771,1210,4,966049436
4917,1214,5,962676730
386,1968,4,976299567
1199,3481,2,974846614
5558,1527,4,959390224
1706,34,4,974709043
1354,919,4,975458868
3672,1307,3,966375249
690,34,3,975583745
1291,377,3,974790004
4708,2716,4,963519385
